PointID,PointIDtied,BirdID,Use,Sex,Age,Dispersal,County,Latitude,Longitude,Date,Year,Date5,PerchType5,DetailPerchType5,PerchH5,Water5,WaterType5,Ditch1W5,Ditch1Dbelow5,Ditch2W5,Ditch2Dbelow5,DitchWavg5,DitchDbelowAvg5,WaterBodyArea5,FloodFieldArea5,Water1D5,Water2D5,Water3D5,WaterDavg5,Crops5,CropType5,Tilled5,Burned5,OtherFeatures5,Date11,PerchType11,DetailPerchType11,PerchH11,Water11,WaterType11,Ditch1W11,Ditch1Dbelow11,Ditch2W11,Ditch2Dbelow11,DitchWavg11,DitchDbelowAvg11,WaterBodyArea11,FloodFieldArea11,Water1D11,Water2D11,Water3D11,WaterDavg11,Crops11,CropType11,Tilled11,Burned11,OtherFeatures11,Date100,Wire100,LowWire100,TallWire100,WireAvg100,WoodyPerches100,WoodyAvg100,WoodyTall100,NonnatPerches100,NonnatAvg100,NonnatTall100,TotPerches100,Ditches100,Ditch1W100,Ditch1D100,Ditch2W100,Ditch2D100,Ditch3W100,Ditch3D100,Ditch4W100,Ditch4D100,Ditch5W100,Ditch5D100,DitchWavg100,DitchDavg100,DitchWtot100,DitchDtot100,Grass1W100,Grass1H100,Grass2W100,Grass2H100,Grass3W100,Grass3H100,Grass4W100,Grass4H100,Grass5W100,Grass5H100,Grass6W100,Grass6H100,ShortGrass100,TallGrass100,GrassHdiff250,GrassWavg100,GrassHavg100,GrassWtot100,Notes100,Date250,Wire250,LowWire250,TallWire250,WireAvg250,WoodyPerches250,WoodyAvg250,WoodyTall250,NonnatPerches250,NonnatAvg250,NonnatTall250,TotalPerches250,Ditches250,Ditch1W250,Ditch1D250,Ditch2W250,Ditch2D250,Ditch3W250,Ditch3D250,Ditch4W250,Ditch4D250,Ditch5W250,Ditch5D250,DitchWavg250,DitchDavg250,DitchWtot250,DitchDtot250,Grass1W250,Grass1H250,Grass2W250,Grass2H250,Grass3W250,Grass3H250,Grass4W250,Grass4H250,Grass5W250,Grass5H250,Grass6W250,Grass6H250,ShortGrass250,TallGrass250,GrassHdiff250,GrassWavg250,GrassHavg250,GrassWtot250,Notes250,Data Questions,Corn,Cotton,Rice,Soybean,Fallow/Idle Cropland,Developed,Forested,Corn500,Cotton500,Rice500,Soy500,Fallow500,Develop500,Forest500
Alex Obs 1a,Alex1a,Alex,1,M,ASY,0,,35.74673,-90.51185,2/3/2017,1,2/3/2017,wire,utility wire,7,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,cotton,0,0,harvested,2/3/2017,wire,utility wire,7,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,cotton,0,0,harvested,,200,NA,NA,6.75,0,0,NA,2,7,7,2,1,1.75,0.75,1.75,0.3,NA,NA,NA,NA,NA,NA,1.75,0.525,3.5,1.05,1,0.25,5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,,,,3,0.25,6,,,500,NA,NA,6.75,5,8,16,25,3.5,7,30,3,1.75,0.75,1.75,0.3,1.8,0.4,NA,NA,NA,NA,1.766666667,0.483333333,5.3,1.45,1,0.25,5,0.25,5,0.25,NA,NA,NA,NA,NA,NA,,,,3.666666667,0.25,11,,,29700,486000,0,216900,0,46800,0,3.781522235,61.87945475,0,27.61657147,0,5.958762309,0
Alex Ran 1a,Alex1a,Alex,0,M,ASY,0,,35.74929,-90.51208,2/3/2017,1,2/3/2017,stubble,soy stubble,0.1,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,0,0,harvested,2/3/2017,stubble,soy stubble,0.1,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,0,0,harvested,,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0,0,0,,,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0,0,0,,,9900,512100,0,213300,0,49500,0,1.260507412,65.20261065,0,27.15820514,0,6.302537058,0
Alex Obs 2a,Alex2a,Alex,1,M,ASY,0,,35.74852,-90.50884,2/9/2017,1,2/9/2017,wire,utility wire,7,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,fallow,1,0,tilled ground,2/9/2017,wire,utility wire,7,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,fallow,1,0,tilled ground,,200,NA,NA,6.75,0,0,NA,7,4,7,7,2,1.75,0.3,1.8,0.4,NA,NA,NA,NA,NA,NA,1.775,0.35,3.55,0.7,5,0.25,5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,,,,5,0.25,10,,,550,NA,NA,6.75,5,8,16,25,4,7,30,3,1.75,0.3,1.8,0.4,1.75,0.75,NA,NA,NA,NA,1.766666667,0.483333333,5.3,1.45,5,0.25,5,0.25,1,0.25,35,0.25,NA,NA,NA,NA,,,,11.5,0.25,46,,,29700,486000,0,216900,0,46800,0,3.781522235,61.87945475,0,27.61657147,0,5.958762309,0
Alex Ran 2a,Alex2a,Alex,0,M,ASY,0,,35.74897,-90.50968,2/9/2017,1,2/9/2017,stubble,soy stubble,0.05,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,0,0,harvested,2/9/2017,stubble,soy stubble,0.05,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,0,0,harvested,,150,NA,NA,6.75,0,0,NA,3,4.5,7,3,2,1.75,0.3,1.8,0.4,NA,NA,NA,NA,NA,NA,1.775,0.35,3.55,0.7,5,0.25,5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,,,,5,0.25,10,,,480,NA,NA,6.75,0,0,NA,11,3.5,7,11,2,1.75,0.3,1.8,0.4,NA,NA,NA,NA,NA,NA,1.775,0.35,3.55,0.7,5,0.25,5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,,,,5,0.25,10,,,9900,512100,0,213300,0,49500,0,1.260507412,65.20261065,0,27.15820514,0,6.302537058,0
Alex Obs 3a,Alex3a,Alex,1,M,ASY,0,,35.7475,-90.50901,2/17/2017,1,2/17/2017,wire,utility wire,5.6,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,cotton,1,0,"tilled flat, unknown crop",2/17/2017,wire,utility wire,5.6,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,cotton,1,0,"tilled flat, unknown crop",,215,NA,NA,6.75,0,0,NA,12,3.5,7,12,2,1.8,0.4,1.75,0.3,NA,NA,NA,NA,NA,NA,1.775,0.35,3.55,0.7,5,0.25,5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,,,,5,0.25,10,,,540,NA,NA,6.75,5,8,16,24,3.5,7,29,3,1.8,0.4,1.75,0.3,1.75,0.75,NA,NA,NA,NA,1.766666667,0.483333333,5.3,1.45,5,0.25,5,0.25,35,0.25,1,0.25,NA,NA,NA,NA,,,,11.5,0.25,46,,,29700,486000,0,216900,0,46800,0,3.781522235,61.87945475,0,27.61657147,0,5.958762309,0
Alex Ran 3a,Alex3a,Alex,0,M,ASY,0,,35.74696,-90.50883,2/17/2017,1,2/17/2017,natural,dirt mound,0.1,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,cotton,1,0,"tilled flat, unknown crop",2/17/2017,natural,dirt mound,0.1,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,cotton,1,0,"tilled flat, unknown crop",,140,NA,NA,6.75,0,0,NA,9,3,7,9,1,1.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.4,1.8,0.4,5,0.25,35,0.25,NA,NA,NA,NA,NA,NA,NA,NA,,,,20,0.25,40,,,530,NA,NA,6.75,5,8,16,22,3.5,7,27,3,1.8,0.4,1.75,0.3,1.75,0.75,NA,NA,NA,NA,1.766666667,0.483333333,5.3,1.45,5,0.25,5,0.25,35,0.25,NA,NA,NA,NA,NA,NA,,,,15,0.25,45,,,9900,512100,0,213300,0,49500,0,1.260507412,65.20261065,0,27.15820514,0,6.302537058,0
Alex Obs 4a,Alex4a,Alex,1,M,ASY,0,,35.74828,-90.509,2/22/2017,1,2/22/2017,wire,utility wire,6,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,1,0,"tilled flat, unknown crop",2/22/2017,wire,utility wire,6,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,1,0,"tilled flat, unknown crop",,200,NA,NA,6.75,0,0,NA,8,3.5,7,8,2,1.75,0.3,1.8,0.4,NA,NA,NA,NA,NA,NA,1.775,0.35,3.55,0.7,5,0.25,5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,,,,5,0.25,10,,,550,NA,NA,6.75,5,8,16,23,4,7,28,3,1.75,0.3,1.8,0.4,1.75,0.75,NA,NA,NA,NA,1.766666667,0.483333333,5.3,1.45,5,0.25,5,0.25,1,0.25,35,0.25,NA,NA,NA,NA,,,,11.5,0.25,46,,,29700,486000,0,216900,0,46800,0,3.781522235,61.87945475,0,27.61657147,0,5.958762309,0
Alex Ran 4a,Alex4a,Alex,0,M,ASY,0,,35.74675,-90.5094,2/22/2017,1,2/22/2017,natural,tree,5,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,cotton,0,0,NA,2/22/2017,natural,tree,5,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,cotton,0,0,NA,,200,NA,NA,6.75,5,8,16,11,3.5,7,16,2,1.8,0.4,1.75,0.75,NA,NA,NA,NA,NA,NA,1.775,0.575,3.55,1.15,5,0.25,1,0.25,35,0.25,NA,NA,NA,NA,NA,NA,,,,13.66666667,0.25,41,,,490,NA,NA,6.75,5,8,16,25,3.5,7,30,3,1.8,0.4,1.75,0.3,1.75,0.75,NA,NA,NA,NA,1.766666667,0.483333333,5.3,1.45,5,0.25,5,0.25,1,0.25,35,0.25,NA,NA,NA,NA,,,,11.5,0.25,46,,,9900,512100,0,213300,0,49500,0,1.260507412,65.20261065,0,27.15820514,0,6.302537058,0
Borneo Obs 1,Borneo1,Borneo,1,M,ASY,0,,35.65612,-90.57156,2/1/2017,1,2/1/2017,wire,utility wire,5,1,ditch,3,0.75,NA,NA,3,0.75,NA,NA,0.15,NA,NA,0.15,1,soy,0,0,NA,2/1/2017,wire,utility wire,5,1,ditch,3,0.75,NA,NA,3,0.75,NA,NA,0.15,NA,NA,0.15,1,soy,0,0,NA,,240,NA,NA,6.5,51,4,12,20,2,7,71,2,2.25,0.25,0.75,0.5,NA,NA,NA,NA,NA,NA,1.5,0.375,3,0.75,50,0.1,8,0.25,NA,NA,NA,NA,NA,NA,NA,NA,,,,29,0.175,58,ROW is mowed lawn,,540,NA,NA,6.5,101,4,12,60,2,7,161,2,2.25,0.25,0.75,0.5,NA,NA,NA,NA,NA,NA,1.5,0.375,3,0.75,50,0.1,8,0.25,NA,NA,NA,NA,NA,NA,NA,NA,,,,29,0.175,58,ROW is mowed lawn,,25200,53100,102600,518400,33300,30600,0,3.20856432,6.760903389,13.06344045,66.00475173,4.239888566,3.896113817,0
Borneo Ran 1,Borneo1,Borneo,0,M,ASY,0,,35.65706,-90.57291,2/1/2017,1,2/1/2017,natural,tree,10,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,rice,1,0,NA,2/1/2017,natural,tree,10,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,rice,1,0,NA,,200,NA,NA,6.5,0,0,NA,7,2,7,7,2,2.25,0.25,0.75,0.5,NA,NA,NA,NA,NA,NA,1.5,0.375,3,0.75,50,0.1,8,0.25,NA,NA,NA,NA,NA,NA,NA,NA,,,,29,0.175,58,ROW is mowed lawn,,620,NA,NA,6.5,101,4,12,60,2,7,161,2,2.25,0.25,0.75,0.5,NA,NA,NA,NA,NA,NA,1.5,0.375,3,0.75,50,0.1,8,0.25,NA,NA,NA,NA,NA,NA,NA,NA,,,,29,0.175,58,ROW is mowed lawn,,49050,23850,211950,425250,17100,36900,0,6.245241266,3.036676946,26.98631777,54.1445229,2.177240074,4.698254898,0
