PointID,PointIDtied,BirdID,Use,Sex,Age,Dispersal,County,Latitude,Longitude,Date,Year,Date5,PerchType5,DetailPerchType5,PerchH5,Water5,WaterType5,Ditch1W5,Ditch1Dbelow5,Ditch2W5,Ditch2Dbelow5,DitchWavg5,DitchDbelowAvg5,WaterBodyArea5,FloodFieldArea5,Water1D5,Water2D5,Water3D5,WaterDavg5,Crops5,CropType5,Tilled5,Burned5,OtherFeatures5,Date11,PerchType11,DetailPerchType11,PerchH11,Water11,WaterType11,Ditch1W11,Ditch1Dbelow11,Ditch2W11,Ditch2Dbelow11,DitchWavg11,DitchDbelowAvg11,WaterBodyArea11,FloodFieldArea11,Water1D11,Water2D11,Water3D11,WaterDavg11,Crops11,CropType11,Tilled11,Burned11,OtherFeatures11,Date100,Wire100,LowWire100,TallWire100,WireAvg100,WoodyPerches100,WoodyAvg100,WoodyTall100,NonnatPerches100,NonnatAvg100,NonnatTall100,TotPerches100,Ditches100,Ditch1W100,Ditch1D100,Ditch2W100,Ditch2D100,Ditch3W100,Ditch3D100,Ditch4W100,Ditch4D100,Ditch5W100,Ditch5D100,DitchWavg100,DitchDavg100,DitchWtot100,DitchDtot100,Grass1W100,Grass1H100,Grass2W100,Grass2H100,Grass3W100,Grass3H100,Grass4W100,Grass4H100,Grass5W100,Grass5H100,Grass6W100,Grass6H100,ShortGrass100,TallGrass100,GrassHdiff250,GrassWavg100,GrassHavg100,GrassWtot100,Notes100,Date250,Wire250,LowWire250,TallWire250,WireAvg250,WoodyPerches250,WoodyAvg250,WoodyTall250,NonnatPerches250,NonnatAvg250,NonnatTall250,TotalPerches250,Ditches250,Ditch1W250,Ditch1D250,Ditch2W250,Ditch2D250,Ditch3W250,Ditch3D250,Ditch4W250,Ditch4D250,Ditch5W250,Ditch5D250,DitchWavg250,DitchDavg250,DitchWtot250,DitchDtot250,Grass1W250,Grass1H250,Grass2W250,Grass2H250,Grass3W250,Grass3H250,Grass4W250,Grass4H250,Grass5W250,Grass5H250,Grass6W250,Grass6H250,ShortGrass250,TallGrass250,GrassHdiff250,GrassWavg250,GrassHavg250,GrassWtot250,Notes250,Data Questions,Corn,Cotton,Rice,Soybean,Fallow/Idle Cropland,Developed,Forested,Corn500,Cotton500,Rice500,Soy500,Fallow500,Develop500,Forest500
Butch Obs 1a,Butch1a,Butch,1,M,SY,0,Poinsett,35.67103,-90.57338,1/17/2017,1,1/17/2017,wire,utility wire,4.75,1,ditch,2,0.5,NA,NA,2,0.5,NA,NA,0.1,NA,NA,0.1,0,none,NA,NA,NA,1/17/2017,wire,utility wire,4.75,1,ditch,2,0.5,NA,NA,2,0.5,NA,NA,0.1,NA,NA,0.1,1,soy,0,0,NA,,220,NA,NA,6.5,13,5,14,6,4,7,19,1,2.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.25,0.5,2.25,0.5,3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,3,0.2,3,,,520,NA,NA,6.5,13,5,14,10,4,7,23,1,2.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.25,0.5,2.25,0.5,3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,3,0.2,3,,,0,4500,25200,709200,2700,46800,0,0,0.572957914,3.20856432,90.2981673,0.343774749,5.958762309,0
Butch Ran 1a,Butch1a,Butch,0,M,SY,0,Poinsett,35.67132,-90.57272,1/17/2017,1,1/17/2017,natural,pigweed,0.75,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,0,0,NA,1/17/2017,natural,pigweed,0.75,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,0,0,Fallow rows still present,,220,NA,NA,6.5,7,5,14,4,6.5,7,11,1,2.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.25,0.5,2.25,0.5,3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,3,0.2,3,,,680,NA,NA,6.5,13,5,14,10,4,7,23,3,2.25,0.5,2.25,0.2,2.25,0.5,NA,NA,NA,NA,2.25,0.4,6.75,1.2,3,0.2,2,0.2,7,0.75,NA,NA,NA,NA,NA,NA,,,,4,0.383333333,12,,,0,5400,6300,720000,9000,33300,0,0,0.687549497,0.80214108,91.67326629,1.145915829,4.239888566,0
Butch Obs 2a,Butch2a,Butch,1,M,SY,0,Poinsett,35.67111,-90.57709,1/24/2017,1,1/24/2017,anthropogenic,limb,3.5,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,none,NA,NA,NA,1/24/2017,natural,limb,3.5,1,ditch,2,0.3,NA,NA,2,0.3,NA,NA,0.1,NA,NA,0.1,1,soy,0,0,cover crop,,240,NA,NA,5.5,14,6,15,14,2,7,28,1,2.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0.2,2.5,0.2,1.75,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1.75,0.2,1.75,,,540,NA,NA,5.5,14,6,15,15,2,7,29,1,2.25,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2.25,0.2,2.25,0.2,1.75,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1.75,0.2,1.75,,,0,4500,25200,709200,2700,46800,0,0,0.572957914,3.20856432,90.2981673,0.343774749,5.958762309,0
Butch Ran 2a,Butch2a,Butch,0,M,SY,0,Poinsett,35.67095,-90.57729,1/24/2017,1,1/24/2017,anthropogenic,post,1.4,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,0,0,cover crop,1/24/2017,anthropogenic,post,1.4,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,0,0,cover crop,,240,NA,NA,5.5,14,6,15,14,2,7,28,1,2.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0.2,2.5,0.2,1.75,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1.75,0.2,1.75,,,540,NA,NA,5.5,14,6,15,15,2,7,29,1,2.25,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2.25,0.2,2.25,0.2,1.75,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1.75,0.2,1.75,,,0,5400,6300,720000,9000,33300,0,0,0.687549497,0.80214108,91.67326629,1.145915829,4.239888566,0
Butch Obs 3a,Butch3a,Butch,1,M,SY,0,Poinsett,35.67104,-90.57162,2/1/2017,1,2/1/2017,wire,utility wire,5,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,none,NA,NA,fallow area,2/1/2017,wire,utility wire,5,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,none,NA,NA,fallow area,,300,NA,NA,6.5,6,2,2,6,4,7,12,3,2.25,0.5,2.25,0.2,2.25,0.5,NA,NA,NA,NA,2.25,0.4,6.75,1.2,7,0.75,3,0.2,2,0.2,NA,NA,NA,NA,NA,NA,,,,4,0.383333333,12,,,750,NA,NA,6.5,12,2,2,10,4,7,22,3,2.25,0.5,2.25,0.2,2.25,0.5,NA,NA,NA,NA,2.25,0.4,6.75,1.2,7,0.75,3,0.2,2,0.2,NA,NA,NA,NA,NA,NA,,,,4,0.383333333,12,,,0,4500,25200,709200,2700,46800,0,0,0.572957914,3.20856432,90.2981673,0.343774749,5.958762309,0
Butch Ran 3a,Butch3a,Butch,0,M,SY,0,Poinsett,35.67097,-90.57139,2/1/2017,1,2/1/2017,wire,utility wire,5,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,1,0,harvested,2/1/2017,wire,utility wire,5,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,1,0,harvested,,300,NA,NA,6.5,6,2,2,5,4,7,11,3,2.25,0.5,2.25,0.2,2.25,0.5,NA,NA,NA,NA,2.25,0.4,6.75,1.2,7,0.75,3,0.2,2,0.2,NA,NA,NA,NA,NA,NA,,,,4,0.383333333,12,,,750,NA,NA,6.5,12,2,2,10,4,7,22,3,2.25,0.5,2.25,0.2,2.25,0.5,NA,NA,NA,NA,2.25,0.4,6.75,1.2,7,0.75,3,0.2,2,0.2,NA,NA,NA,NA,NA,NA,,,,4,0.383333333,12,,,0,5400,6300,720000,9000,33300,0,0,0.687549497,0.80214108,91.67326629,1.145915829,4.239888566,0
Butch Obs 4a,Butch4a,Butch,1,M,SY,0,Poinsett,35.67137,-90.57658,2/9/2017,1,2/9/2017,wire,utility wire,7.5,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,0,0,harvested,2/9/2017,wire,utility wire,7.5,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,0,0,harvested,,210,NA,NA,5.5,9,6,10,2,7,7,11,1,2.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.25,0.5,2.25,0.5,7,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,7,0.75,7,,,540,NA,NA,5.5,14,6,15,5,2,7,19,1,2.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.25,0.5,2.25,0.5,7,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,7,0.75,7,,,0,4500,25200,709200,2700,46800,0,0,0.572957914,3.20856432,90.2981673,0.343774749,5.958762309,0
Butch Ran 4a,Butch4a,Butch,0,M,SY,0,Poinsett,35.66878,-90.57714,2/9/2017,1,2/9/2017,stubble,soy stubble,0.15,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,0,0,harvested,2/9/2017,stubble,soy stubble,0.15,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,0,0,harvested,,250,NA,NA,6.5,13,5,14,6,4,7,19,1,2.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.25,0.5,2.25,0.5,2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,2,0.2,2,,,250,NA,NA,6.5,13,5,14,6,4,7,19,1,2.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.25,0.5,2.25,0.5,2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,2,0.2,2,,,0,5400,6300,720000,9000,33300,0,0,0.687549497,0.80214108,91.67326629,1.145915829,4.239888566,0
Gerald Obs 1,Gerald 1,Gerald,1,M,SY,0,,35.87804,-90.51088,2/14/2017,1,2/14/2017,wire,utility wire,6.25,0,none,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,0,none,NA,NA,NA,2/14/2017,wire,utility wire,6.25,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,none,NA,NA,NA,,215,NA,NA,7.5,15,2,4,7,3,8,22,2,3,0.75,2.25,0.5,NA,NA,NA,NA,NA,NA,2.625,0.625,5.25,1.25,10,0.2,1.75,0.2,NA,NA,NA,NA,NA,NA,NA,NA,,,,5.875,0.2,11.75,,,515,NA,NA,7.5,15,2,4,8,3,8,23,2,3,0.75,2.25,0.5,NA,NA,NA,NA,NA,NA,2.625,0.625,5.25,1.25,10,0.2,1.75,0.2,NA,NA,NA,NA,NA,NA,NA,NA,,,,5.875,0.2,11.75,,,82800,0,457200,182700,1800,57600,0,10.54242562,0,58.2125241,23.26209132,0.229183166,7.333861303,0
Gerald Ran 1,Gerald 1,Gerald,0,M,SY,0,,35.87854,-90.51099,2/14/2017,1,2/14/2017,stubble,soy stubble,0.18,0,none,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,1,soy,1,0,NA,2/14/2017,stubble,soy stubble,0.18,0,none,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,soy,1,0,NA,,195,NA,NA,7.5,15,2,4,8,3,8,23,2,3,0.75,2.25,0.5,NA,NA,NA,NA,NA,NA,2.625,0.625,5.25,1.25,10,0.2,1.75,0.2,NA,NA,NA,NA,NA,NA,NA,NA,,,,5.875,0.2,11.75,,,495,NA,NA,7.5,15,2,4,8,3,8,23,2,3,0.75,2.25,0.5,NA,NA,NA,NA,NA,NA,2.625,0.625,5.25,1.25,10,0.2,1.75,0.2,NA,NA,NA,NA,NA,NA,NA,NA,,,,5.875,0.2,11.75,,,338400,3150,300600,94500,3150,41400,4950,43.08643516,0.40107054,38.27358868,12.0321162,0.40107054,5.271212812,0.630253706
