PerchType5,PerchH5,Water5,Crops5,CropType5,Water11,Crops11,CropType11,Wire100,WoodyPerches100,NonnatPerches100,Ditches100,DitchWavg100,GrassWavg100,GrassHavg100,Wire250,WoodyPerches250,NonnatPerches250,Ditches250,DitchWavg250,GrassWavg250,GrassHavg250
stubble,0.05,0,1,rice,0,1,rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stubble,0.1,0,1,soy,0,1,soy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stubble,0.12,0,1,rice,0,1,rice,0,1,0,1,5,0.5,0.01,0,1,0,1,5,0.5,0.01
stubble,0.15,0,1,soy,0,1,soy,0,2,0,1,10,10,0.5,0,2,3,1,10,10,0.5
stubble,0.15,0,1,rice,0,1,rice,0,0,0,0,0,0,0,0,101,1,1,3,3,1.2
stubble,0.2,0,1,cotton,0,1,cotton,0,0,0,0,0,0,0,0,101,0,0,0,0,0
stubble,0.2,0,1,rice,0,1,rice,0,0,0,1,8.7,8.8,0.7,0,3,1,1,8.7,8.8,0.7
stubble,0.2,0,1,soy,0,1,soy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stubble,0.2,1,1,rice,1,1,rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stubble,0.22,0,1,rice,0,1,rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stubble,0.25,0,1,rice,0,1,rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stubble,0.25,1,1,cotton,1,1,cotton,0,16,3,3,6.833333333,2.266666667,0.49,0,24,6,3,6.833333333,2.266666667,0.49
stubble,0.26,0,1,corn,0,1,corn,0,0,4,0,0,0,0,0,0,4,0,0,0,0
stubble,0.3,0,1,cotton,0,1,cotton,0,0,0,0,0,0,0,0,0,3,1,3,1,0.3
stubble,0.35,0,1,rice,0,1,rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stubble,0.4,0,1,corn,0,1,corn,0,22,4,3,2.833333333,2.333333333,0.366666667,0,46,6,3,2.833333333,2.333333333,0.366666667
stubble,0.4,0,1,cotton,0,1,cotton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stubble,0.4,0,1,cotton,0,1,cotton,0,11,0,0,0,0,0,0,20,0,0,0,0,0
natural,0.4,1,1,soy,1,1,soy,0,0,0,1,3,2,0.01,0,0,0,1,3,2,0.01
stubble,0.45,0,1,cotton,0,1,cotton,0,0,0,0,0,0,0,0,0,0,2,2,2.5,0.1
stubble,0.5,0,1,cotton,0,1,cotton,0,22,4,3,2.833333333,2.333333333,0.366666667,0,46,6,3,2.833333333,2.333333333,0.366666667
anthropogenic,0.5,0,1,rice,0,1,rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stubble,0.5,0,1,corn,0,1,corn,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stubble,0.5,0,1,cotton,0,1,cotton,0,0,3,0,0,0,0,0,0,3,0,0,0,0
natural,0.75,1,1,rice,1,1,rice,0,1,1,2,2.125,25,0.5,0,6,3,2,2.125,13,0.375
natural,0.85,1,1,fallow,1,1,fallow,0,0,2,1,8.7,8.8,0.7,0,6,2,2,7.7,10.05,0.75
anthropogenic,1,0,0,none,0,1,soy,0,0,3,0,0,0,0,0,0,4,0,0,0,0
natural,3,0,0,none,0,1,rice,0,1,0,0,0,10,0.2,0,3,3,0,0,10,0.2
natural,3,0,0,none,1,0,none,0,51,1,1,13,4.5,0.5,0,101,2,1,13,4.5,0.5
wire,9,1,1,fallow,1,1,fallow,0,25,1,0,0,0,0,0,101,1,0,0,0,0
natural,10,0,0,fallow,0,0,fallow,0,50,0,0,0,0,0,0,101,0,0,0,0,0
natural,1.75,0,1,fallow,0,1,rice,0,15,0,0,0,0,0,40,42,2,0,0,0,0
stubble,0.05,0,1,rice,0,1,rice,190,0,3,2,2.5,1.75,0.225,49,0,10,2,2.5,1.75,0.225
stubble,0.4,0,1,cotton,0,1,cotton,0,0,0,0,0,0,0,50,3,3,2,1.25,1,0.075
stubble,0.5,1,1,rice,1,1,rice,0,0,0,1,0.5,1,0.25,55,1,1,1,0.5,1,0.25
anthropogenic,1,1,1,rice,1,1,rice,0,0,0,0,0,0,0,60,4,4,3,3.166666667,6.666666667,0.666666667
stubble,0.3,0,1,soy,0,1,soy,0,0,3,1,5,0.5,0.01,75,0,3,1,5,0.5,0.01
stubble,0.05,0,1,rice,0,1,rice,0,0,0,0,0,0,0,80,0,2,2,1.5,2,0.4
anthropogenic,0.15,0,1,fallow,0,1,fallow,0,0,0,0,0,0,0,100,8,20,1,2,2,0.2
stubble,0.2,0,1,cotton,0,1,cotton,0,0,0,0,0,0,0,100,0,3,1,1.5,4,0.2
natural,1.25,0,1,fallow,0,1,fallow,0,0,0,0,0,0,0,100,0,1,2,3.25,4,0.1
natural,2.75,1,0,none,1,1,rice,0,0,3,1,5,0.5,0.01,100,0,5,1,5,0.5,0.01
stubble,0.1,0,1,soy,0,1,soy,0,0,0,0,0,0,0,150,101,5,3,3.166666667,6.666666667,0.7
stubble,0.3,0,1,rice,0,1,rice,0,0,0,0,0,0,0,150,101,2,2,1.875,3,0.3
stubble,0.4,0,1,rice,0,1,rice,0,51,0,0,0,0,0,150,101,12,2,1.5,0,0
natural,0.66,1,1,rice,1,1,rice,0,0,0,0,0,0,0,150,2,1,3,1,2.5,0.1
anthropogenic,12,1,0,fallow,1,0,fallow,0,0,0,0,0,0,0,150,17,7,2,2,0.75,0.1
anthropogenic,2.25,0,1,rice,0,1,rice,0,0,0,0,0,0,0,170,13,7,2,1.9,2.7,0.135
natural,2.5,1,0,none,1,1,soy,180,51,2,2,6.125,6,0.175,180,90,2,2,6.125,6,0.175
stubble,0.1,0,1,fallow,0,1,fallow,0,0,2,0,0,0,0,200,1,9,2,1,2.5,0.1
stubble,0.3,0,1,cotton,0,1,cotton,0,0,6,4,1.75,2.5,0.1,200,0,7,4,1.75,2.5,0.1
natural,0.3,0,1,rice,0,1,rice,0,0,0,2,2.85,2.8,0.13,200,0,2,4,3.35,3.05,0.13
stubble,0.3,0,1,cotton,0,1,cotton,0,0,1,0,0,0,0,200,0,4,0,0,0,0
stubble,1,0,1,cotton,0,1,cotton,0,0,0,0,0,0,0,200,29,0,2,2.25,1,0.15
stubble,1,0,1,cotton,0,1,cotton,0,0,2,0,0,0,0,200,0,5,2,4.75,2.5,0.1
natural,11,0,1,corn,0,1,corn,0,3,3,0,0,0,0,200,3,3,2,1.5,1.5,0.1
natural,12,0,0,none,0,0,none,0,12,35,0,0,0,0,210,45,32,0,0,0,0
natural,1.2,1,0,none,1,1,rice,70,9,4,2,8,5.5,0.15,215,20,9,2,8,5.5,0.15
stubble,0.5,1,1,rice,1,1,rice,0,0,0,0,0,0,0,220,5,5,3,3.35,4.5,0.1
stubble,0.2,0,1,cotton,0,1,cotton,120,0,3,2,2,4,0.1,240,0,7,2,2,4,0.1
stubble,0.3,0,1,cotton,0,1,cotton,0,0,0,0,0,0,0,240,15,4,2,2.1,3,0.225
stubble,0.6,1,1,rice,1,1,rice,0,51,0,1,13,0,0,240,101,6,2,10,3,0.2
stubble,0.05,0,1,rice,0,1,rice,0,5,0,1,4,3,0.2,250,25,5,3,2.833333333,5.333333333,0.3
stubble,0.1,0,1,soy,0,1,soy,0,0,0,0,0,0,0,250,18,6,2,3.125,3.25,0.5
stubble,0.15,0,1,soy,0,1,soy,250,13,6,1,2.25,2,0.2,250,13,6,1,2.25,2,0.2
stubble,0.25,0,1,cotton,0,1,cotton,100,0,0,1,3,1,0.05,250,9,20,1,3,1,0.05
stubble,0.25,0,1,soy,0,1,soy,100,15,10,0,0,0,0,250,20,15,0,0,0,0
natural,0.3,0,1,cotton,0,1,cotton,0,0,0,0,0,0,0,250,14,8,4,4.3125,2.5,0.5
stubble,0.4,0,1,corn,0,1,corn,0,0,0,0,0,0,0,250,0,3,2,1.5,1.5,0.1
stubble,0.5,0,1,corn,0,1,corn,100,0,1,0,0,0,0,250,0,1,0,0,0,0
natural,0.65,1,0,none,1,1,soy,0,0,0,0,0,0,0,250,15,10,2,8.5,2.5,0.125
stubble,0.9,0,1,cotton,0,1,cotton,100,0,3,0,0,0,0,250,0,8,2,3,3,0.1
natural,5,0,1,fallow,0,1,fallow,100,2,10,2,2,2,0.1,250,2,10,2,2,2,0.1
natural,5,0,1,rice,0,1,rice,15,51,0,0,0,0,0,265,101,10,2,0.85,0,0
stubble,0.2,0,1,rice,0,1,rice,0,0,0,0,0,0,0,270,27,2,3,5.033333333,6.633333333,0.433333333
anthropogenic,1.46,1,0,none,1,0,none,0,1,0,0,0,0,0,270,12,3,2,1.75,2.7,0.15
wire,9,1,1,rice,1,1,rice,0,1,0,0,0,0,0,270,12,3,2,1.75,2.7,0.15
anthropogenic,5,0,0,none,0,0,none,20,14,51,0,0,0,0,280,22,101,2,3,3,0.1
stubble,0.31,0,1,cotton,0,1,cotton,120,22,51,0,0,0,0,300,33,101,0,0,0,0
stubble,0.4,0,1,cotton,0,1,cotton,0,0,0,0,0,0,0,300,30,40,1,1.5,4,0.2
stubble,0.4,0,1,cotton,0,1,cotton,0,0,0,0,0,0,0,300,30,40,1,1.5,4,0.2
natural,8,0,0,none,0,1,soy,50,51,12,4,4.125,2.833333333,0.07,300,101,27,4,4.125,2.833333333,0.07
stubble,0.08,0,1,rice,0,1,rice,0,0,0,0,0,0,0,305,101,26,3,5.25,20,0.25
wire,7.4,0,0,none,0,0,none,100,6,16,0,0,20,0.1,310,7,20,1,1.25,20,0.1
stubble,0.5,1,1,rice,1,1,rice,0,0,0,0,0,0,0,320,6,1,1,4.8,5.9,0.2
natural,1.75,0,1,rice,0,1,rice,0,51,0,0,0,0,0,340,101,10,3,3.933333333,3.533333333,0.31
stubble,0.3,0,1,cotton,0,1,cotton,0,0,0,0,0,0,0,350,2,7,2,1.625,2,0.2
natural,0.75,1,1,rice,1,1,rice,0,0,0,1,3,8.4,0.2,350,0,0,3,2.566666667,5.533333333,0.14
natural,7,0,1,soy,0,1,soy,180,51,6,1,1.875,3,0.15,350,101,14,1,1.875,3,0.15
stubble,0.2,0,1,rice,0,1,rice,0,0,0,0,0,0,0,355,0,0,2,0.75,3.45,0.1
stubble,0.1,0,1,rice,0,1,rice,0,0,0,0,0,0,0,360,30,14,3,2.333333333,7,0.35
natural,0.75,1,1,soy,1,1,soy,290,4,2,4,1.75,2.75,0.5,360,5,6,4,1.2,2.75,0.5
stubble,0.15,0,1,soy,0,1,soy,110,25,3,2,7,10,0.25,380,55,16,3,5.083333333,7.5,0.25
stubble,0.5,1,1,rice,1,1,rice,0,0,0,0,0,0,0,380,5,8,2,0.75,6,0.3
natural,2,1,1,rice,1,1,rice,0,11,0,1,8,8,0.75,380,16,6,3,3.75,5,0.625
natural,8,0,0,none,1,1,fallow,0,2,0,3,4.466666667,6.2,0.266666667,380,45,2,3,4.3,6,0.266666667
stubble,0.1,0,1,soy,0,1,soy,200,0,5,2,2,1.75,0.2,400,0,8,2,2,1.75,0.2
stubble,0.13,0,1,cotton,0,1,cotton,0,0,0,0,0,0,0,400,5,4,0,0,0,0
stubble,0.18,0,1,cotton,1,1,cotton,0,0,0,1,3,0,0,400,23,15,5,2.8,1,0.075
stubble,0.2,0,1,fallow,0,1,fallow,200,0,3,0,0,0,0,400,0,3,0,0,0,0
stubble,0.2,0,1,corn,0,1,corn,0,0,0,0,0,0,0,400,70,9,2,1.5,1.85,0.325
stubble,0.3,0,1,soy,0,1,soy,0,0,0,0,0,0,0,400,9,1,1,9,2,0.05
stubble,0.3,0,1,rice,0,1,rice,0,51,0,3,4.233333333,4.6,0.9,400,101,0,3,4.233333333,4.6,0.9
stubble,0.5,0,1,cotton,0,1,cotton,120,0,6,4,1.75,2.5,0.325,400,0,7,4,1.75,2.5,0.325
