Corn500,Cotton500,Rice500,Soy500,Fallow500,Develop500,Forest500
0.572957914,0,44.19415379,39.87787084,9.854876126,3.361353097,1.298704606
1.260507412,65.20261065,0,27.15820514,0,6.302537058,0
0,0,80.38990826,15.36697248,0.229357798,4.013761468,0
3.781522235,66.46311806,0,23.49127449,0.343774749,3.666930652,2.291831657
0,0,27.24832215,65.23489933,4.832214765,2.55033557,0.134228188
12.60507412,75.74503627,0,5.61498756,0,5.61498756,0
0,0,49.71363116,46.04810997,0.114547537,4.12371134,0
0,0,59.33562428,25.5441008,0.229095074,7.331042383,7.560137457
0.458366331,0,42.62806883,44.00316782,0.80214108,10.54242562,1.489690577
0,0,48.62385321,31.07798165,2.293577982,2.408256881,15.59633028
0.343774749,0,68.92683709,25.84040194,0.114591583,4.698254898,0
0,89.74358974,0,6.75990676,0,3.496503497,0
34.47880871,11.22565865,0.572737686,49.36998855,0,4.352806415,0
1.456953642,87.15231788,0,3.57615894,0,7.814569536,0
0,0,80.38990826,15.36697248,0.229357798,4.013761468,0
34.47880871,11.22565865,0.572737686,49.36998855,0,4.352806415,0
5.19630485,2.309468822,1.501154734,88.56812933,0.346420323,2.07852194,0
0,22.97921478,0.115473441,75.05773672,0,1.847575058,0
0,0.114810563,49.13892078,46.6130884,0.114810563,4.01836969,0
0,56.89851767,16.07753706,23.14709236,0,3.876852908,0
34.47880871,11.22565865,0.572737686,49.36998855,0,4.352806415,0
5.19630485,2.309468822,1.501154734,88.56812933,0.346420323,2.07852194,0
28.66972477,0,0,63.87614679,0.344036697,7.110091743,0
27.68878719,0.228832952,0,70.36613272,1.71624714,0,0
0.572957914,0,44.19415379,39.87787084,9.854876126,3.361353097,1.298704606
0,0,49.71363116,46.04810997,0.114547537,4.12371134,0
0.343249428,31.9221968,0,61.55606407,0,6.178489703,0
0,0,38.57634902,51.77956372,6.084959816,3.55912744,0
0,19.01197605,0.299401198,18.86227545,29.49101796,8.682634731,23.65269461
0,0,27.24832215,65.23489933,4.832214765,2.55033557,0.134228188
0.345224396,14.95972382,0.230149597,80.55235903,0,3.912543153,0
0,0,22.04362801,28.70264064,43.62801378,5.051664753,0.574052813
7.620340261,0.114591583,49.90463434,37.81522235,0,4.0107054,0
0,65.10538642,0,34.42622951,0,0.468384075,0
7.620340261,0.114591583,49.90463434,37.81522235,0,4.0107054,0
0.458366331,0,42.62806883,44.00316782,0.80214108,10.54242562,1.489690577
0,0,37.29977117,50.91533181,2.059496568,9.610983982,0.114416476
0,0,33.68992536,62.56700424,0,3.781522235,0
0,0,38.88888889,16.89814815,41.78240741,2.430555556,0
1.456953642,87.15231788,0,3.57615894,0,7.814569536,0
0,0,22.19679634,66.24713959,1.029748284,10.52631579,0
0,0,37.29977117,50.91533181,2.059496568,9.610983982,0.114416476
0.458366331,0,42.62806883,44.00316782,0.80214108,10.54242562,1.489690577
0,0,38.61736343,35.17961594,22.68913341,3.323155903,0
0,0,38.61736343,35.17961594,22.68913341,3.323155903,0
0,0,50.11441648,40.61784897,4.691075515,3.890160183,0.686498856
0,0,28.00925926,65.16203704,3.240740741,3.587962963,0
0.115473441,0,17.55196305,73.55658199,2.07852194,6.697459584,0
0,0,59.58762309,28.7624873,0,10.77160879,0.343774749
0,0,50.11441648,40.61784897,4.691075515,3.890160183,0.686498856
0.343249428,31.9221968,0,61.55606407,0,6.178489703,0
0,0,48.62385321,31.07798165,2.293577982,2.408256881,15.59633028
0,72.54038179,0,17.91483113,1.027900147,8.516886931,0
0,35.45770568,0,59.32792584,0,5.214368482,0
27.68878719,0.228832952,0,70.36613272,1.71624714,0,0
25.2886836,0,30.94688222,35.33487298,1.963048499,6.004618938,0.461893764
0.237247924,0,47.44958482,16.84460261,9.489916963,4.744958482,21.23368921
0,0,60.61894734,32.14293899,2.062648492,4.984733855,0
